size,type,algorithm,time_us,comparisons
400,prefix,quicksort,1206,95229
400,prefix,mergesort,534,24330
400,prefix,string_quicksort,157,6193
400,prefix,string_mergesort,436,3131
400,prefix,msd_radix,684,0
400,prefix,msd_radix_switch,560,816
500,prefix,quicksort,1549,124126
500,prefix,mergesort,701,31723
500,prefix,string_quicksort,197,7373
500,prefix,string_mergesort,558,3937
500,prefix,msd_radix,817,0
500,prefix,msd_radix_switch,689,1118
600,prefix,quicksort,1922,152984
600,prefix,mergesort,860,39440
600,prefix,string_quicksort,263,9705
600,prefix,string_mergesort,686,4743
600,prefix,msd_radix,968,0
600,prefix,msd_radix_switch,825,1499
700,prefix,quicksort,2249,178237
700,prefix,mergesort,1041,47805
700,prefix,string_quicksort,288,10716
700,prefix,string_mergesort,806,5554
700,prefix,msd_radix,1153,0
700,prefix,msd_radix_switch,967,1861
800,prefix,quicksort,2574,204008
800,prefix,mergesort,1246,55748
800,prefix,string_quicksort,343,13245
800,prefix,string_mergesort,945,6363
800,prefix,msd_radix,1301,0
800,prefix,msd_radix_switch,1141,2314
900,prefix,quicksort,2905,231640
900,prefix,mergesort,1408,64130
900,prefix,string_quicksort,390,14531
900,prefix,string_mergesort,1058,7174
900,prefix,msd_radix,1476,0
900,prefix,msd_radix_switch,1236,2738
1000,prefix,quicksort,3347,261494
1000,prefix,mergesort,1591,72509
1000,prefix,string_quicksort,458,16989
1000,prefix,string_mergesort,1158,7995
1000,prefix,msd_radix,1652,0
1000,prefix,msd_radix_switch,1373,3219
1100,prefix,quicksort,3686,288707
1100,prefix,mergesort,1776,81322
1100,prefix,string_quicksort,457,18013
1100,prefix,string_mergesort,1326,8811
1100,prefix,msd_radix,1846,0
1100,prefix,msd_radix_switch,1532,3694
1200,prefix,quicksort,4028,318537
1200,prefix,mergesort,1969,90106
1200,prefix,string_quicksort,537,20009
1200,prefix,string_mergesort,1471,9628
1200,prefix,msd_radix,2030,0
1200,prefix,msd_radix_switch,1694,4188
1300,prefix,quicksort,4450,350236
1300,prefix,mergesort,2156,98945
1300,prefix,string_quicksort,575,21687
1300,prefix,string_mergesort,1624,10448
1300,prefix,msd_radix,2214,0
1300,prefix,msd_radix_switch,1842,4690
1400,prefix,quicksort,4848,380815
1400,prefix,mergesort,2359,108136
1400,prefix,string_quicksort,584,22882
1400,prefix,string_mergesort,1746,11271
1400,prefix,msd_radix,2898,0
1400,prefix,msd_radix_switch,2227,5126
1500,prefix,quicksort,5625,406628
1500,prefix,mergesort,2471,117024
1500,prefix,string_quicksort,631,25201
1500,prefix,string_mergesort,1858,12101
1500,prefix,msd_radix,2472,0
1500,prefix,msd_radix_switch,1998,5679
1600,prefix,quicksort,5912,429621
1600,prefix,mergesort,2765,126187
1600,prefix,string_quicksort,695,27811
1600,prefix,string_mergesort,1909,12919
1600,prefix,msd_radix,2761,0
1600,prefix,msd_radix_switch,2154,6212
1700,prefix,quicksort,5900,478297
1700,prefix,mergesort,2821,135342
